,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
4985,s4986,TV Show,Tabula Rasa,,"Veerle Baetens, Stijn Van Opstal, Jeroen Perceval, Hilde Van Mieghem, Gene Bervoets, Peter Van den Begin, Natali Broods",Belgium,"March 15, 2018",2017,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","When a young woman with amnesia becomes a key figure in a missing persons case, she must reconstruct her memories to clear her name."
4986,s4987,Movie,The Art of Loving,Maria Sadowska,"Magdalena Boczarska, Eryk Lubos, Justyna Wasilewska, Piotr Adamczyk, Arkadiusz Jakubik, Wojciech Mecwaldowski, Borys Szyc, Katarzyna Kwiatkowska, Artur Barciś",Poland,"March 15, 2018",2017,TV-MA,115 min,"Dramas, International Movies","During Communist rule, a Polish gynecologist and sexologist defies taboo and fights to publish her groundbreaking book on love and sex."
4987,s4988,Movie,Steel Rain,Yang Woo-seok,"Woo-sung Jung, Do-won Kwak, Kap-soo Kim, Woo-jin Jo, Eui-sung Kim, Kyeong-yeong Lee, Won-joong Jung, Hyun-sung Jang",South Korea,"March 14, 2018",2018,TV-MA,140 min,"Action & Adventure, Dramas, International Movies","Amid a coup, a North Korean agent escapes south with the country's injured leader in an attempt to keep him alive and prevent a Korean war."
4993,s4994,Movie,The Outsider,Martin Zandvliet,"Jared Leto, Tadanobu Asano, Kippei Shiina, Shioli Kutsuna, Emile Hirsch, Raymond Nicholson, Rory Cochrane, Nao Omori, Min Tanaka",United States,"March 9, 2018",2018,TV-MA,121 min,"Dramas, Thrillers","An American soldier imprisoned in postwar Japan enters the dark world of the yakuza, adopting their way of life in repayment for his freedom."
4997,s4998,TV Show,Borderliner,,"Tobias Santelmann, Ellen Dorrit Petersen, Benjamin Helstad, Frode Winther, Bjørn Skagestad, Eivind Sander, Thelma Farnes Ottersen, Todd Bishop Monrad Vistven, Ole Christoffer Ertvaag, Marina Popovic, Gine Cornelia Pedersen, Ana Gil de Melo Nascimento, Kim-Henning Nilsen, Morten Svartveit, Ellen Birgitte Winther, Even Pedersen","Norway, Germany, Sweden","March 6, 2018",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","To protect his family, a police detective covers up a murder case. But when his partner suspects foul play, he is trapped in a dangerous game on duty."
5004,s5005,TV Show,21 Thunder,,"Stephanie Bennett, Emmanuel Kabongo, RJ Fetherstonhaugh, Andres Joseph, Kevin Claydon, Conrad Pla, Clark Backo, Ryan Pierce, Eileen Li, Susan Bain, Cristina Rosato, Jonathan Kim, Colm Feore",Canada,"March 1, 2018",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence."
5007,s5008,Movie,Dil Se,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity Zinta, Raghuvir Yadav, Zohra Sehgal, Sabyasachi Chakraborty, Piyush Mishra, Krishnakant, Aditya Srivastava",India,"March 1, 2018",1998,TV-14,166 min,"Dramas, International Movies, Romantic Movies",A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.
5008,s5009,Movie,Guru,Mani Ratnam,"Abhishek Bachchan, Mithun Chakraborty, Aishwarya Rai Bachchan, Madhavan, Vidya Balan, Roshan Seth, Arya Babbar, Sachin Khedekar, Dhritiman Chatterjee, Manoj Joshi",India,"March 1, 2018",2007,TV-PG,155 min,"Dramas, International Movies",Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
5010,s5011,Movie,Love Beats Rhymes,RZA,"Azealia Banks, Lucien Laviscount, Jill Scott, Common, Lorraine Toussaint, Hana Mae Lee, Jeremie Harris",United States,"March 1, 2018",2016,R,106 min,"Dramas, Music & Musicals, Romantic Movies","After enrolling in a college poetry course, a struggling rapper finds inspiration for her new voice through slam poetry."
5012,s5013,Movie,Shubh Aarambh,Amit Barot,"Harsh Chhaya, Prachi Shah, Bharat Chawda, Deeksha Joshi, Aarjav Trivedi, Prashant Barot, Harsha Bhavsar",India,"March 1, 2018",2017,TV-PG,127 min,"Dramas, International Movies, Romantic Movies","As her own wedding looms on the horizon, a marriage counselor strives to save her future in-laws' crumbling relationship."
5014,s5015,Movie,Swades,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Balal, Smith Seth, Lekh Tandon, Rajesh Vivek, Daya Shankar Pandey, Farrukh Jaffar",India,"March 1, 2018",2004,TV-PG,185 min,"Dramas, International Movies",An Americanized NASA scientist returns to his native India on a business trip and searches for the nanny who helped raise him.
5021,s5022,Movie,Yuva,Mani Ratnam,"Ajay Devgn, Abhishek Bachchan, Vivek Oberoi, Esha Deol, Kareena Kapoor, Rani Mukerji, Loveleen Mishra, Anant Nag, Om Puri, Vijay Raaz, Sonu Sood",India,"March 1, 2018",2004,TV-14,160 min,"Dramas, International Movies","An accident on a bridge ties together three young men from different social classes, sparking a course of events that will forever alter their lives."
5022,s5023,Movie,반드시 잡는다,Hong-seon Kim,Baek Yoon-sik,South Korea,"February 28, 2018",2017,TV-MA,110 min,"Dramas, International Movies, Thrillers","After people in his town start turning up dead, a grumpy landlord is visited by a man who recounts an unsolved serial murder case from 30 years ago."
5027,s5028,TV Show,Marseille,,"Gérard Depardieu, Benoît Magimel, Géraldine Pailhas, Nadia Farès, Stéphane Caillard, Jean-René Privat, Pascal Elso, Gérard Meylan",France,"February 23, 2018",2018,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Thrillers",The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city.
5029,s5030,TV Show,Seven Seconds,,"Clare-Hope Ashitey, Regina King, Beau Knapp, Michael Mosley, David Lyons, Russell Hornsby, Raúl Castillo, Patrick Murney",United States,"February 23, 2018",2018,TV-MA,1 Season,"Crime TV Shows, TV Dramas",The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.
5031,s5032,Movie,Forgotten,Hang-Jun Jang,"Ha-neul Kang, Moo-Yul Kim, Young-hee Na, Seong-kun Mun, Myung-Ryul Nam, Eun-woo Lee, Chan-bi Jung, Go Choi, Seong-il Bae, Soon-won Lee",South Korea,"February 21, 2018",2017,TV-MA,109 min,"Dramas, International Movies, Thrillers","When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping."
5033,s5034,Movie,FullMetal Alchemist,Fumihiko Sori,"Ryosuke Yamada, Tsubasa Honda, Dean Fujioka, Misako Renbutsu, Kanata Hongo, Shinji Uchiyama, Jun Kunimura, Yo Oizumi, Ryuta Sato, Fumiyo Kohinata, Yasuko Matsuyuki",Japan,"February 19, 2018",2017,TV-PG,134 min,"Action & Adventure, Dramas, International Movies","While alchemist Edward Elric searches for a way to restore his brother Al's body, the military government and mysterious monsters are watching closely."
5036,s5037,TV Show,Everything Sucks!,,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle",United States,"February 16, 2018",2018,TV-14,1 Season,"TV Comedies, TV Dramas, Teen TV Shows","It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era."
5037,s5038,Movie,Irreplaceable You,Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Christopher Walken, Steve Coogan, Kate McKinnon, Jacki Weaver, Timothy Simons, Brian Tyree Henry, Alanna Masterson, Gayle Rankin, Tamara Tunie",United States,"February 16, 2018",2018,TV-MA,96 min,"Dramas, Romantic Movies","A stunning cancer diagnosis spurs Abbie to seek a future girlfriend for fiancé and childhood sweetheart Sam, who's clueless when it comes to dating."
5038,s5039,TV Show,Re:Mind,,Keyakizaka46,Japan,"February 15, 2018",2017,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","Eleven high school classmates awaken, restrained to a large dining room. While fearing for their lives, they question a motive to this bizarre act."
5046,s5047,TV Show,Valor,,"Christina Ochoa, Matt Barr, Corbin Reid, Charlie Barnett, W. Tré Davis",United States,"February 6, 2018",2017,TV-14,1 Season,"TV Action & Adventure, TV Dramas","Following an unsuccessful mission in Somalia, the two surviving members of a U.S. Army helicopter crew are embroiled in an unseemly conspiracy."
5050,s5051,Movie,On Body and Soul,Ildiko Enyedi,"Alexandra Borbély, Géza Morcsányi, Réka Tenki, Zoltán Schneider, Ervin Nagy, Itala Bekes, Éva Bata, Pál Mácsai, Zsuzsa Jaro, Nóra Rainer-Micsinyei",Hungary,"February 2, 2018",2017,TV-MA,116 min,"Dramas, International Movies, Romantic Movies",Two shy and socially awkward co-workers in Budapest form a special bond through a mysterious mystic connection that manifests in a dream.
5051,s5052,Movie,The Bros,You-Jeong Chang,"Dong-hwi Lee, Dong-seok Ma, Ha-Nui Lee, Woo-jin Jo, Young-chang Song, Chang-wook Ji, Man-seok Oh, Ye-ji Seo",South Korea,"February 2, 2018",2017,TV-14,102 min,"Comedies, Dramas, International Movies","Reunited in their hometown for their father's funeral, two self-interested brothers meet a peculiar woman who shares a huge secret about their family."
5053,s5054,Movie,Newness,Drake Doremus,"Nicholas Hoult, Laia Costa, Danny Huston, Courtney Eaton, Matthew Gray Gubler, Albert Hammond Jr.",United States,"February 1, 2018",2017,TV-MA,117 min,"Dramas, Independent Movies, Romantic Movies","Martin and Gabi try to form a relationship after meeting through a hookup app, but when boredom creeps in, they seek out an unconventional solution."
5058,s5059,Movie,Holy Camp!,"Javier Ambrossi, Javier Calvo","Macarena García, Anna Castillo, Belén Cuesta, Gracia Olayo, Richard Collins-Moore, Llum Barrera, Secun de la Rosa, María Isabel Díaz, Víctor Elías, Henry Méndez, Esti Quesada",Spain,"January 29, 2018",2017,TV-MA,108 min,"Comedies, Dramas, Faith & Spirituality","In this musical comedy, two rebellious teen girls who love electronic music have a life-changing brush with the divine at a camp run by nuns."
5069,s5070,TV Show,The Shannara Chronicles,,"Austin Butler, Poppy Drayton, Ivana Baquero, Manu Bennett, Aaron Jakubenko, Emilia Burns, John Rhys-Davies, Marcus Vanco, Brooke Williams, Daniel MacPherson, Jed Brophy","United States, New Zealand","January 22, 2018",2018,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","After the destruction of civilization, three young heroes become Earth's last hope for salvation when a massive force of demons threatens the planet."
5070,s5071,TV Show,Love and Hong Kong,,"Eiko Koike, Ryo Yoshizawa, Fumika Baba, Moga Mogami, Tomo Yanagishita, Kaoru Nagata, Ryo Iwamatsu",Japan,"January 20, 2018",2017,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",The lives of five strangers become intertwined forever when a starlet filming a documentary is kidnapped on the streets of Hong Kong.
5080,s5081,Movie,Pyar Ke Do Pal,Rajiv Mehra,"Mithun Chakraborty, Jayapradha, Simple Kapadia, Krishan Dhawan, Jagdeep, Bindu, Satyendra Kapoor, Shubha Khote, Amrit Pal, Lalita Pawar",India,"January 15, 2018",1986,TV-14,153 min,"Dramas, International Movies, Music & Musicals","Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before."
5081,s5082,Movie,Rip Tide,Rhiannon Bannenberg,"Debby Ryan, Genevieve Hegney, Andrew Creer, Naomi Sequeira, Aaron Jeffery, Valerie Bader, Jeremy Lindsay Taylor, Danielle Carter, Marcus Graham, Kimie Tsukakoshi","Australia, United Arab Emirates","January 15, 2018",2017,TV-PG,87 min,"Children & Family Movies, Dramas, Sports Movies","Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia."
5083,s5084,Movie,Milada,David Mrnka,"Ayelet Zurer, Robert Gant, Vica Kerekes, Aňa Geislerová, Ivana Chýlková, Vladimír Javorský, Dagmar Bláhová, Jaromír Dulava, Martin Pechlát, Brian Caspe","Czech Republic, United States","January 12, 2018",2017,TV-14,124 min,"Dramas, International Movies",Politician and human rights campaigner Milada Horáková battles against all odds to defend her beliefs in a Czechoslovakia under Communist rule.
5093,s5094,Movie,Mustang Island,Craig Elrod,"Macon Blair, Lee Eddy, John Merriman, Byron Brown, Jason Newman",United States,"January 2, 2018",2017,TV-14,86 min,"Comedies, Dramas, Independent Movies","After being dumped on New Year's Eve, Bill pursues his ex-girlfriend to an off-season Gulf Coast beach town, but things get complicated along the way."
5099,s5100,TV Show,The Frozen Dead,,"Charles Berling, Julia Piaton, Pascal Greggory, Nina Meurisse, Lubna Azabal, Anne Le Ny, Robinson Stévenin, Robert Plagnol, Sophie Guillemin",France,"January 1, 2018",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller.
5103,s5104,TV Show,La Mante,,"Carole Bouquet, Fred Testot, Pascal Demolon, Manon Azem, Frédérique Bel, Élodie Navarre, Jacques Weber",France,"December 29, 2017",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Decades after her capture, a serial killer offers to help solve a string of copycat murders – but only if her son, now a cop, will work by her side."
5104,s5105,Movie,The Climb,Ludovic Bernard,"Ahmed Sylla, Alice Belaïdi, Kevin Razy, Nicolas Wanczycki, Waly Dia, Umesh Tamang",France,"December 29, 2017",2017,TV-14,105 min,"Action & Adventure, Comedies, Dramas",A young Senegalese-French man from humble roots sets out to climb Mount Everest to impress the woman he loves – and slowly becomes a media sensation.
5105,s5106,TV Show,Wadi,,"Syafie Naswip, Ardell Aryana, Naim Daniel, Shafieq Shazwan, Fimie Don, Afieq Syazwan, Amyza Aznan, Azhan Rani, Ahmad Iswazir",,"December 29, 2017",2015,TV-14,1 Season,"International TV Shows, TV Dramas","After the death of his father, a passive and good-natured teenager named Wadi struggles with family, work and love."
5114,s5115,Movie,Desire,Diego Kaplan,"Carolina Ardohain, Mónica Antonópulos, Guilherme Winter, Juan Sorini, Andrea Frigerio",Argentina,"December 21, 2017",2017,TV-MA,94 min,"Dramas, International Movies, Romantic Movies",A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom.
5121,s5122,Movie,Christmas Inheritance,Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell, Michael Xavier, Neil Crone, Anthony Sherwood, Joanna Douglas, Martin Roach",United States,"December 15, 2017",2017,TV-G,105 min,"Dramas, International Movies, Romantic Movies","To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others."
5122,s5123,Movie,Muramba,Varun Narvekar,"Mithila Palkar, Amey Wagh, Sachin Khedekar, Chinmayi Sumit",India,"December 15, 2017",2017,TV-MA,128 min,"Comedies, Dramas, International Movies",A young man and his parents ponder the reasons behind the recent breakdown of a relationship he was in – and the possibility of reconciliation.
5124,s5125,Movie,Seoul Searching,Benson Lee,"In-pyo Cha, Justin Chon, Jessika Van, Esteban Ahn, Teo Yoo, Rosalina Leigh, Kang Byul, Crystal Kay, Dante Han, Sue Son, Albert Kong, Byeol Kang, David Lee McInnis, Seung-hyeon Han, Nathalia Ramos, Seong-guk Choi, Ji-a Park","South Korea, China, United States","December 15, 2017",2015,TV-MA,109 min,"Comedies, Dramas, International Movies",Teens of Korean descent who were born and raised in other countries travel to Seoul to learn about their cultural heritage at a summer camp in 1986.
5126,s5127,TV Show,Halt and Catch Fire,,"Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé, Toby Huss, Aleksa Palladino, David Wilson Barnes, Morgan Hinkleman, James Cromwell, Manish Dayal, Annabeth Gish",United States,"December 14, 2017",2017,TV-14,4 Seasons,TV Dramas,"Re-creating the dawn of the personal computer era, this digital drama tracks the fates of an industry visionary and his brilliant colleagues."
5128,s5129,TV Show,Dawai Asmara,,"Hanna Aqiela, Tengku Putri Najuwa, Emelie Hanif, Zoey Rahman, Faiez Affandi, Wanny Mustahfah, Sherie Merlis, Mahmud Alibashah, Zalfa Zin, Kamal Ibrahim, Amanda Hariz, Alesha Hariz, Fathimah Az Zahra, Elya Miera Ismail",,"December 11, 2017",2016,TV-14,1 Season,"International TV Shows, TV Dramas","Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents."
5129,s5130,Movie,El Camino Christmas,David E. Talbert,"Jessica Alba, Tim Allen, Dax Shepard, Vincent D'Onofrio, Luke Grimes, Kurtwood Smith, Michelle Mylett",United States,"December 8, 2017",2017,TV-MA,89 min,"Comedies, Dramas","Stuck in a liquor store during an alleged robbery, a group of strangers shares hidden truths and forms an unexpected bond on Christmas Eve."
5131,s5132,Movie,Shikari,"Latif Faiziyev, Umesh Mehra","Mithun Chakraborty, Naseeruddin Shah, Irina Kushnareva, Varsha Usgaonkar, Gulshan Grover, Anjana Mumtaz, Amrish Puri, Amrit Pal, Achyut Potdar, Lilliput","India, Soviet Union","December 8, 2017",1991,TV-14,163 min,"Dramas, International Movies, Music & Musicals","When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise."
5139,s5140,TV Show,Dhia Sofea,,"Amyra Rosli, Fadlan Hazim, Maria Farida, Sharifah Haslinda, Syafiq Kyle, Sasqia Dahuri, Raja Ema, Faye Kusairi, Puteri Octovia, Roy Azman, Norlia Ghani",Malaysia,"December 1, 2017",2015,TV-14,1 Season,"International TV Shows, TV Dramas","After discovering that she was adopted as an infant, a young woman embarks on a perilous quest to connect with her biological mother."
5143,s5144,Movie,My Happy Family,"Nana Ekvtimishvili, Simon Gross","Ia Shugliashvili, Merab Ninidze, Berta Khapava, Tsisia Qumsishvili, Giorgi Khurtsilava, Giorgi Tabidze, Goven Cheishvili, Dimitri Oragvelidze, Mariam Bokeria","Georgia, Germany, France","December 1, 2017",2017,TV-14,119 min,"Dramas, Independent Movies, International Movies","A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself."
5145,s5146,TV Show,Padamu Aku Bersujud,,"Syazwan Zulkifli, Sqikin Kamal, Leez Rosli, Bil Azali, Shenthy Feliziana, Jasmine Suraya, Aleza Shadan, Nina Iskandar",,"December 1, 2017",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","The son of poor farmers leaves his village to seek his fortune in Kuala Lumpur, where he meets a young woman who's also trying to better her life."
5147,s5148,TV Show,TURN: Washington's Spies,,"Jamie Bell, Seth Numrich, Daniel Henshall, Heather Lind, Meegan Warner, Kevin McNally, Burn Gorman, Angus Macfadyen, JJ Feild, Samuel Roukin",United States,"December 1, 2017",2017,TV-14,4 Seasons,TV Dramas,"Set in 1778, this period drama recounts the story of Abe Woodhull, an American cabbage farmer obliged to begin spying on the British enemy."
5153,s5154,Movie,The Girl from the Song,Ibai Abad,"Lewis Rainer, Josephine Berry, Charlotte Atkinson, Charles MacGechan",Spain,"November 24, 2017",2016,TV-MA,101 min,"Dramas, Independent Movies, International Movies","When an aspiring musician falls for a carefree college student, he follows her to the Nevada desert to declare his love to her and find himself."
5154,s5155,TV Show,The Many Faces of Ito,,"Fumino Kimura, Nozomi Sasaki, Mirai Shida, Elaiza Ikeda, Kaho, Yuki Yamada, Tomoya Nakamura, Kei Tanaka",Japan,"November 24, 2017",2017,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A jaded rom-com screenwriter in her 30s mines four love-sick women for their stories under the guise of providing them with romantic advice.
5157,s5158,TV Show,Argon,,"Woo-hee Chun, Joo-hyuk Kim, Won-sang Park",South Korea,"November 22, 2017",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas","In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light."
5159,s5160,TV Show,Godless,,"Jeff Daniels, Michelle Dockery, Jack O'Connell, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Sam Waterston, Tantoo Cardinal",United States,"November 22, 2017",2017,TV-MA,1 Season,TV Dramas,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women."
5163,s5164,Movie,A Christmas Prince,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",United States,"November 17, 2017",2017,TV-PG,92 min,"Children & Family Movies, Dramas, Romantic Movies",Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.
5165,s5166,TV Show,Longmire,,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Bailey Chase, Cassidy Freeman, Adam Bartley, Louanne Stephens",United States,"November 17, 2017",2017,TV-MA,6 Seasons,"Crime TV Shows, TV Dramas",This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.
5167,s5168,Movie,Mudbound,Dee Rees,"Carey Mulligan, Jason Clarke, Mary J. Blige, Garrett Hedlund, Jason Mitchell, Rob Morgan, Jonathan Banks",United States,"November 17, 2017",2017,R,135 min,"Dramas, Independent Movies","Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era."
5170,s5171,TV Show,The Method,,"Konstantin Khabenskiy, Paulina Andreeva, Alexander Tsekalo, Alexander Petrov, Ivan Dobronravov, Kirill Poluhin",Russia,"November 15, 2017",2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",An ambitious young law enforcement graduate is thrilled when her idol takes her on as a trainee. But his methods aren't anything like she imagined.
5181,s5182,Movie,The Journey Is the Destination,Bronwen Hughes,"Ben Schnetzer, Kelly Macdonald, Sam Hazeldine, Ella Purnell, Maria Bello, Yusra Warsama",United States,"November 7, 2017",2016,R,123 min,Dramas,Spirited 22-year-old activist and photojournalist Dan Eldon rushes to the frontline of a dangerous relief effort for Somalian refugees in this biopic.
5183,s5184,Movie,Mubarakan,Anees Bazmee,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Athiya Shetty, Neha Sharma, Vineet Kumar Singh, Pavan Malhotra, Ratna Pathak Shah, Karan Kundra, Anil Mange, Rahul Dev, Sanjay Kapoor",India,"November 5, 2017",2017,PG-13,153 min,"Comedies, Dramas, International Movies","Chaos ensues after two orphaned twin brothers raised apart team up with their eccentric, unmarried uncle to find a solution to their romantic woes."
5184,s5185,TV Show,Akulah Balqis,Pali Yahya,"Puteri Balqis, Aeril Zafrel, Nabila Huda, Nazim Othman, Nadia Brian, Bella Dally",,"November 3, 2017",2015,TV-14,1 Season,"International TV Shows, TV Dramas","A little girl must enter an orphanage after her parents are arrested, but her life takes a dramatic turn when she escapes and meets a model."
5185,s5186,TV Show,Alias Grace,,"Sarah Gadon, Edward Holcroft, Paul Gross, Anna Paquin, Rebecca Liddiard, Zachary Levi, Kerr Logan, David Cronenberg",Canada,"November 3, 2017",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity. Based on Margaret Atwood's award-winning novel."
5186,s5187,Movie,Bandie,Alo Sarkar,"Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Bindu, Amjad Khan, Helen, Indrani Mukherjee, Padma Khanna, Iftekhar",India,"November 1, 2017",1978,TV-PG,141 min,"Action & Adventure, Dramas, International Movies","Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her."
5188,s5189,Movie,Hajwala: The Missing Engine,"Ali Bin Matar, Ibrahim Bin Mohamed","Yasser Al Jarraf, Haleem Aljabri, Anwar Aljabri, Omar Aljabri, Ali Almarzouqi, Majed Aldheeb, Yousef Almahmodi, Reem Ali",United Arab Emirates,"November 1, 2017",2016,TV-PG,97 min,"Action & Adventure, Dramas, International Movies",A competitive streetcar racer's obsession with winning drive him to develop a vehicle with an innovative engine that's never been used before.
5190,s5191,Movie,The Bittersweet,D Ho,"Min-ho Lee, Zhu Xuan",China,"November 1, 2017",2017,TV-MA,98 min,"Action & Adventure, Dramas, International Movies","As a killer stalks the streets, a troubled young courier suspects that a doctor may be the long-lost sister he hasn't seen since childhood."
5191,s5192,TV Show,The Family Court,,"Tay Ping Hui, Qi Yu Wu, Chris Tong, Yao Wenlong, Eelyn Kok, Hong Hui Fang, Ann Kok",,"November 1, 2017",2010,TV-MA,1 Season,"International TV Shows, TV Dramas",Five lawyers from different firms develop a strong bond of friendship that is occasionally tested by their court cases and growing romantic feelings.
5192,s5193,TV Show,The Golden Path,,"Li Nanxing, Chen Liping, Chew Chor Meng, Tay Ping Hui, Joanne Peh, Felicia Chin, Huang Wenyong, Alan Tern",,"November 1, 2017",2007,TV-MA,1 Season,"International TV Shows, TV Dramas","A single mother of five struggles for decades to forge a successful business empire, only to see her family descend into animosity and betrayal."
5193,s5194,TV Show,The Little Nyonya,,"Jeanette Aw, Qi Yu Wu, Pierre Png, Dai Xiangyu, Zen Chong, Joanne Peh, Eelyn Kok, Xiang Yun, Yao Wenlong",,"November 1, 2017",2009,TV-14,1 Season,"International TV Shows, TV Dramas","An orphaned Chinese woman in Singapore refuses to yield to her lowly station in life, setting her family on a tumultuous course for generations."
5195,s5196,TV Show,Together,,"Jeanette Aw, Dai Xiangyu, Elvin Ng, Eelyn Kok, Zheng Geping, Aileen Tan, Zhou Ying, Hong Hui Fang, Zhang Zhenhuan",Singapore,"November 1, 2017",2009,TV-14,1 Season,"International TV Shows, TV Dramas","Spanning 30 years, a group of dedicated and diverse friends experiences happiness and hardship in a newly independent Singapore."
5198,s5199,Movie,SPF-18,Alex Israel,"Carson Meyer, Noah Centineo, Bianca Santos, Jackson White, Sean Russel Herman, Rosanna Arquette, Molly Ringwald, Pamela Anderson, Keanu Reeves, Goldie Hawn",United States,"October 30, 2017",2017,PG-13,75 min,"Dramas, Romantic Movies, Sports Movies",The arrival of an enigmatic struggling musician in Malibu shakes the ground beneath the feet of a teenage girl and her surfer boyfriend.
5202,s5203,Movie,Strange Weather,Katherine Dieckmann,"Holly Hunter, Carrie Coon, Kim Coates, Shane Jacobsen, Andrene Ward-Hammond, Allene Quincy, Glenne Headly",United States,"October 26, 2017",2016,R,91 min,"Dramas, Independent Movies","A grieving mother takes a road trip with her friend to confront the man who, she believes, stole her late son's business idea to get rich."
5205,s5206,TV Show,The Mist,,"Morgan Spector, Alyssa Sutherland, Gus Birney, Danica Curcic, Okezie Morro, Luke Cosgrove, Darren Pettie, Russell Posner, Frances Conroy, Dan Butler, Isiah Whitlock Jr.","Canada, United States","October 24, 2017",2017,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","Trapped by a mysterious fog, residents of a Maine village discover that it hides nightmarish creatures. A new series based on Stephen King's novella."
5207,s5208,Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,"October 20, 2017",2017,TV-MA,103 min,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella."
5215,s5216,TV Show,In Laws,,"Kelvin Leong, Remon Lim, Loo Aye Keng, Lawrence Wong, Frederick Lee, Danielle Dai, Joey Leong",,"October 16, 2017",2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Once domineered by her own mother, a well-meaning matriarch has trouble being lax with her children, especially when her daughter-in-law moves in."
5217,s5218,Movie,Lucknow Central,Ranjit Tiwari,"Farhan Akhtar, Diana Penty, Ronit Roy, Gippy Grewal, Deepak Dobriyal, Inaamulhaq, Rajesh Sharma",India,"October 16, 2017",2017,TV-14,144 min,"Dramas, International Movies, Music & Musicals","After being arrested for a crime he didn't commit, an aspiring musician teams up with some of his inmates at Lucknow Central to form a band."
